Subject,MOVIE1_AcquisitionTime,MOVIE2_AcquisitionTime,MOVIE3_AcquisitionTime,MOVIE4_AcquisitionTime,REST1_AcquisitionTime,REST4_AcquisitionTime,MOVIE1_TimeFromLocalizer,MOVIE2_TimeFromLocalizer,MOVIE3_TimeFromLocalizer,MOVIE4_TimeFromLocalizer,REST1_TimeFromLocalizer,REST4_TimeFromLocalizer
100610,38361.0,40311.0,40722.0,42467.0,37065.0,39467.0,1825.0,3775.0,1528.0,3273.0,529.0,273.0
102311,68544.0,69811.0,30108.0,31363.0,67027.0,28826.0,2080.0,3347.0,1577.0,2832.0,563.0,295.0
102816,67498.0,68806.0,34842.0,36167.0,66083.0,33514.0,2187.0,3495.0,1654.0,2979.0,772.0,326.0
104416,32136.0,35096.0,43979.0,45212.0,30833.0,42735.0,2080.0,5040.0,1551.0,2784.0,777.0,307.0
105923,75770.0,77046.0,31282.0,32566.0,74416.0,30006.0,1922.0,3198.0,1608.0,2892.0,568.0,332.0
108323,31731.0,33170.0,40228.0,41440.0,30211.0,38973.0,2081.0,3520.0,1515.0,2727.0,561.0,260.0
109123,54199.0,55457.0,66156.0,67498.0,52848.0,64918.0,2913.0,4171.0,1479.0,2821.0,1562.0,241.0
111514,59185.0,60412.0,61591.0,62951.0,57891.0,60288.0,1837.0,3064.0,1539.0,2899.0,543.0,236.0
114823,69101.0,70371.0,36182.0,37424.0,67770.0,34888.0,1999.0,3269.0,1599.0,2841.0,668.0,305.0
115017,73026.0,74846.0,65115.0,66360.0,71639.0,63859.0,2009.0,3829.0,1562.0,2807.0,622.0,306.0
115825,76733.0,78144.0,56916.0,58153.0,75289.0,55657.0,2049.0,3460.0,1594.0,2831.0,605.0,335.0
116726,60773.0,62024.0,32914.0,34151.0,59366.0,31657.0,1961.0,3212.0,1882.0,3119.0,554.0,625.0
118225,33416.0,34672.0,45671.0,46915.0,32061.0,44431.0,2015.0,3271.0,1531.0,2775.0,660.0,291.0
125525,74352.0,75585.0,29537.0,30797.0,73047.0,28169.0,1888.0,3121.0,1689.0,2949.0,583.0,321.0
126426,73883.0,75132.0,30189.0,31418.0,72580.0,28926.0,2360.0,3609.0,1542.0,2771.0,1057.0,279.0
126931,74014.0,75375.0,30277.0,31623.0,72593.0,28774.0,1903.0,3264.0,1770.0,3116.0,482.0,267.0
128935,34416.0,35666.0,38865.0,40094.0,33135.0,37586.0,1839.0,3089.0,1554.0,2783.0,558.0,275.0
130114,30977.0,32229.0,41416.0,42681.0,29651.0,40183.0,1889.0,3141.0,1469.0,2734.0,563.0,236.0
130518,36400.0,37682.0,41766.0,42997.0,35053.0,40437.0,1887.0,3169.0,1614.0,2845.0,540.0,285.0
131217,38163.0,39588.0,46325.0,47655.0,36721.0,45043.0,2361.0,3786.0,1582.0,2912.0,919.0,300.0
131722,38867.0,40138.0,46081.0,47326.0,37528.0,44800.0,2008.0,3279.0,1597.0,2842.0,669.0,316.0
132118,68929.0,70186.0,29997.0,31253.0,67601.0,28736.0,2017.0,3274.0,1511.0,2767.0,689.0,250.0
134627,74286.0,75546.0,57628.0,58872.0,72989.0,56360.0,1869.0,3129.0,1570.0,2814.0,572.0,302.0
134829,33071.0,35153.0,59577.0,60812.0,31637.0,58377.0,2027.0,4109.0,1515.0,2750.0,593.0,315.0
135124,30930.0,32199.0,48617.0,49849.0,29609.0,47339.0,1905.0,3174.0,1559.0,2791.0,584.0,281.0
137128,66862.0,68114.0,55449.0,56681.0,65517.0,54170.0,1875.0,3127.0,1519.0,2751.0,530.0,240.0
140117,37106.0,38337.0,44700.0,45918.0,35761.0,43463.0,1893.0,3124.0,1472.0,2690.0,548.0,235.0
144226,68050.0,69289.0,37509.0,38890.0,66741.0,36224.0,1892.0,3131.0,1586.0,2967.0,583.0,301.0
145834,73815.0,75072.0,34597.0,35836.0,72522.0,33373.0,1810.0,3067.0,1499.0,2738.0,517.0,275.0
146129,59191.0,60557.0,42002.0,43230.0,57777.0,40750.0,2058.0,3424.0,1513.0,2741.0,644.0,261.0
146432,67866.0,69103.0,50777.0,52014.0,66596.0,49482.0,1830.0,3067.0,1586.0,2823.0,560.0,291.0
146735,79071.0,80305.0,34609.0,35852.0,77762.0,33379.0,1893.0,3127.0,1503.0,2746.0,584.0,273.0
146937,74848.0,76122.0,34561.0,35807.0,73522.0,33330.0,1911.0,3185.0,1537.0,2783.0,585.0,306.0
148133,54182.0,55441.0,47223.0,48451.0,52895.0,46000.0,1919.0,3178.0,1533.0,2761.0,632.0,310.0
150423,32894.0,34137.0,44953.0,46617.0,31003.0,43681.0,3146.0,4389.0,1558.0,3222.0,1255.0,286.0
155938,35906.0,37152.0,45906.0,47164.0,34629.0,44662.0,1806.0,3052.0,1489.0,2747.0,529.0,245.0
156334,31666.0,32983.0,40885.0,42215.0,30244.0,39543.0,2124.0,3441.0,1620.0,2950.0,702.0,278.0
157336,36213.0,37446.0,44025.0,45248.0,34962.0,42745.0,1808.0,3041.0,1541.0,2764.0,557.0,261.0
158035,30680.0,31905.0,40303.0,41704.0,29182.0,38813.0,2497.0,3722.0,1735.0,3136.0,999.0,245.0
158136,68553.0,69837.0,30360.0,31610.0,67162.0,29058.0,1933.0,3217.0,1559.0,2809.0,542.0,257.0
159239,30833.0,34157.0,41557.0,42766.0,29389.0,40314.0,2020.0,5344.0,1474.0,2683.0,576.0,231.0
162935,57240.0,58497.0,69090.0,70345.0,55962.0,67838.0,1864.0,3121.0,1514.0,2769.0,586.0,262.0
164131,37481.0,38722.0,44175.0,45417.0,36139.0,42870.0,1923.0,3164.0,1541.0,2783.0,581.0,236.0
164636,73213.0,74447.0,33393.0,34697.0,71927.0,32140.0,1825.0,3059.0,1530.0,2834.0,539.0,277.0
165436,69038.0,70286.0,33391.0,34688.0,67727.0,32131.0,3417.0,4665.0,1537.0,2834.0,2106.0,277.0
167036,30923.0,32169.0,44273.0,45487.0,29293.0,43048.0,2424.0,3670.0,1449.0,2663.0,794.0,224.0
167440,61962.0,63217.0,54702.0,55956.0,60656.0,53255.0,1846.0,3101.0,1723.0,2977.0,540.0,276.0
169040,67313.0,36945.0,60670.0,61917.0,34223.0,59367.0,1946.0,3053.0,2030.0,3277.0,331.0,727.0
169343,63076.0,64329.0,65916.0,67163.0,61670.0,64583.0,1960.0,3213.0,1577.0,2824.0,554.0,244.0
169444,31079.0,33033.0,39732.0,40947.0,29795.0,38514.0,1892.0,3846.0,1488.0,2703.0,608.0,270.0
169747,69968.0,71216.0,30105.0,31343.0,68508.0,28842.0,2066.0,3314.0,1572.0,2810.0,606.0,309.0
171633,31343.0,32640.0,40639.0,41935.0,29998.0,39340.0,1950.0,3247.0,1617.0,2913.0,605.0,318.0
172130,36766.0,38043.0,45062.0,46316.0,35471.0,43811.0,1968.0,3245.0,1510.0,2764.0,673.0,259.0
173334,32333.0,33554.0,39803.0,41026.0,30991.0,38518.0,1933.0,3154.0,1539.0,2762.0,591.0,254.0
175237,68909.0,70900.0,35461.0,36712.0,67543.0,34198.0,2073.0,4064.0,1701.0,2952.0,707.0,438.0
176542,59113.0,60382.0,56045.0,57274.0,57669.0,54812.0,2013.0,3282.0,1486.0,2715.0,569.0,253.0
177140,36183.0,37408.0,44129.0,45357.0,34930.0,42882.0,1818.0,3043.0,1514.0,2742.0,565.0,267.0
177645,35443.0,36732.0,43216.0,44440.0,34157.0,41990.0,1818.0,3107.0,1498.0,2722.0,532.0,272.0
177746,35677.0,36922.0,44992.0,46264.0,34310.0,43716.0,1977.0,3222.0,1529.0,2801.0,610.0,253.0
178142,73760.0,75422.0,52960.0,54217.0,72381.0,51714.0,1921.0,3583.0,1473.0,2730.0,542.0,227.0
178243,70684.0,71990.0,52382.0,53637.0,69230.0,51122.0,2049.0,3355.0,1558.0,2813.0,595.0,298.0
178647,69977.0,71315.0,30995.0,32268.0,68561.0,29568.0,2085.0,3423.0,1723.0,2996.0,669.0,296.0
180533,60986.0,62218.0,45235.0,46445.0,59721.0,44012.0,1839.0,3071.0,1478.0,2688.0,574.0,255.0
181232,31856.0,33215.0,45401.0,46706.0,29886.0,44040.0,3076.0,4435.0,1639.0,2944.0,1106.0,278.0
182436,76158.0,77531.0,36623.0,37915.0,74826.0,35279.0,2244.0,3617.0,1629.0,2921.0,912.0,285.0
182739,68158.0,69402.0,67407.0,68641.0,66855.0,66149.0,1849.0,3093.0,1493.0,2727.0,546.0,235.0
185442,37768.0,38998.0,39818.0,41031.0,36470.0,38538.0,1862.0,3092.0,1557.0,2770.0,564.0,277.0
186949,38337.0,39569.0,48845.0,50087.0,37063.0,47601.0,1814.0,3046.0,1503.0,2745.0,540.0,259.0
187345,39112.0,40369.0,39792.0,41031.0,37816.0,38526.0,1906.0,3163.0,1637.0,2876.0,610.0,371.0
191033,30667.0,31925.0,39769.0,41005.0,29337.0,38516.0,1963.0,3221.0,1551.0,2787.0,633.0,298.0
191336,57145.0,58406.0,54167.0,55395.0,55861.0,52930.0,1975.0,3236.0,1469.0,2697.0,691.0,232.0
191841,38062.0,39408.0,40128.0,41605.0,36521.0,38655.0,2114.0,3460.0,1747.0,3224.0,573.0,274.0
192439,68783.0,70040.0,33957.0,35197.0,67445.0,32699.0,1921.0,3178.0,1562.0,2802.0,583.0,304.0
192641,67628.0,68870.0,57089.0,58330.0,66274.0,55813.0,1873.0,3115.0,1542.0,2783.0,519.0,266.0
193845,30936.0,32226.0,38696.0,39960.0,29574.0,37436.0,1968.0,3258.0,1527.0,2791.0,606.0,267.0
195041,64562.0,65788.0,40411.0,41673.0,63306.0,39166.0,1842.0,3068.0,1630.0,2892.0,586.0,385.0
196144,32261.0,33500.0,49295.0,50827.0,30747.0,47992.0,2120.0,3359.0,1557.0,3089.0,606.0,254.0
197348,59704.0,60969.0,40645.0,41887.0,58289.0,39420.0,1978.0,3243.0,1496.0,2738.0,563.0,271.0
198653,72217.0,73443.0,55784.0,57018.0,70896.0,54572.0,1852.0,3078.0,1496.0,2730.0,531.0,284.0
199655,54318.0,55601.0,44468.0,45700.0,52793.0,43211.0,2159.0,3442.0,1507.0,2739.0,634.0,250.0
200210,35097.0,36336.0,40313.0,41527.0,33838.0,39013.0,1840.0,3079.0,1574.0,2788.0,581.0,274.0
200311,29644.0,30900.0,43171.0,44396.0,28345.0,41896.0,1856.0,3112.0,1540.0,2765.0,557.0,265.0
200614,74880.0,76159.0,35164.0,36436.0,73519.0,33861.0,2019.0,3298.0,1631.0,2903.0,658.0,328.0
201515,30331.0,31591.0,36049.0,37293.0,28768.0,34719.0,2167.0,3427.0,1597.0,2841.0,604.0,267.0
203418,69034.0,70273.0,34447.0,35683.0,66832.0,33226.0,2851.0,4090.0,1530.0,2766.0,649.0,309.0
204521,59201.0,60545.0,44802.0,46059.0,57791.0,43498.0,2083.0,3427.0,1577.0,2834.0,673.0,273.0
205220,53965.0,55234.0,45368.0,46652.0,52392.0,44121.0,2148.0,3417.0,1584.0,2868.0,575.0,337.0
209228,55830.0,57097.0,54485.0,56075.0,54180.0,53266.0,2199.0,3466.0,1539.0,3129.0,549.0,320.0
212419,30812.0,32024.0,38807.0,40129.0,28860.0,37583.0,2523.0,3735.0,1477.0,2799.0,571.0,253.0
214019,38193.0,39475.0,44549.0,45827.0,36740.0,43194.0,2158.0,3440.0,1611.0,2889.0,705.0,256.0
214524,68236.0,69483.0,29041.0,30301.0,66912.0,27774.0,1949.0,3196.0,1543.0,2803.0,625.0,276.0
221319,69720.0,36952.0,36516.0,37776.0,34333.0,35219.0,2238.0,2955.0,1598.0,2858.0,336.0,301.0
233326,73307.0,74583.0,35354.0,36738.0,71906.0,34114.0,1930.0,3206.0,1493.0,2877.0,529.0,253.0
239136,56798.0,58073.0,36172.0,37437.0,55526.0,34936.0,1852.0,3127.0,1505.0,2770.0,580.0,269.0
246133,53972.0,55259.0,51630.0,52890.0,52650.0,50403.0,1936.0,3223.0,1504.0,2764.0,614.0,277.0
249947,38265.0,39501.0,45962.0,47174.0,36869.0,44730.0,1971.0,3207.0,1462.0,2674.0,575.0,230.0
251833,59705.0,61024.0,40021.0,41256.0,58371.0,38723.0,1997.0,3316.0,1543.0,2778.0,663.0,245.0
257845,54938.0,56214.0,49825.0,51038.0,53619.0,48469.0,1899.0,3175.0,1645.0,2858.0,580.0,289.0
263436,74584.0,75829.0,34038.0,35268.0,72901.0,32818.0,2277.0,3522.0,1506.0,2736.0,594.0,286.0
283543,62167.0,63395.0,52665.0,53917.0,60864.0,51367.0,1842.0,3070.0,1576.0,2828.0,539.0,278.0
318637,76582.0,77877.0,53734.0,54998.0,75001.0,52452.0,2170.0,3465.0,1565.0,2829.0,589.0,283.0
320826,69099.0,70364.0,29515.0,30769.0,67733.0,28271.0,2475.0,3740.0,1525.0,2779.0,1109.0,281.0
330324,40532.0,41797.0,45815.0,47035.0,39211.0,44416.0,1869.0,3134.0,2200.0,3420.0,548.0,801.0
346137,30169.0,31589.0,54947.0,56242.0,28559.0,53619.0,2189.0,3609.0,1576.0,2871.0,579.0,248.0
352738,68153.0,69406.0,30908.0,32134.0,66788.0,29689.0,1970.0,3223.0,1503.0,2729.0,605.0,284.0
360030,31143.0,32396.0,39538.0,40760.0,29837.0,38283.0,2100.0,3353.0,1519.0,2741.0,794.0,264.0
365343,32142.0,33630.0,41606.0,42987.0,30696.0,40308.0,2193.0,3681.0,1622.0,3003.0,747.0,324.0
380036,71939.0,73187.0,36936.0,38193.0,70444.0,35605.0,2104.0,3352.0,1645.0,2902.0,609.0,314.0
381038,56257.0,57549.0,59717.0,60968.0,54882.0,58421.0,1937.0,3229.0,1552.0,2803.0,562.0,256.0
385046,73305.0,75308.0,31587.0,32833.0,71880.0,30288.0,1960.0,3963.0,3149.0,4395.0,535.0,1850.0
389357,32363.0,34416.0,41143.0,42387.0,29752.0,39445.0,3290.0,5343.0,1962.0,3206.0,679.0,264.0
393247,56974.0,58246.0,42657.0,43891.0,55535.0,41340.0,2233.0,3505.0,1665.0,2899.0,794.0,348.0
395756,68768.0,70037.0,28920.0,30176.0,67446.0,27633.0,2296.0,3565.0,1610.0,2866.0,974.0,323.0
397760,73064.0,74335.0,56980.0,58203.0,71697.0,55685.0,1917.0,3188.0,1571.0,2794.0,550.0,276.0
401422,69801.0,71053.0,29567.0,31449.0,68468.0,28253.0,2310.0,3562.0,1617.0,3499.0,977.0,303.0
406836,75180.0,76463.0,29934.0,31176.0,73785.0,28670.0,2029.0,3312.0,1570.0,2812.0,634.0,306.0
412528,39446.0,41085.0,44543.0,45779.0,38097.0,43199.0,2005.0,3644.0,1587.0,2823.0,656.0,243.0
429040,31275.0,32537.0,39643.0,40912.0,29958.0,38391.0,1933.0,3195.0,1520.0,2789.0,616.0,268.0
436845,74294.0,75550.0,34274.0,35503.0,72900.0,33030.0,1950.0,3206.0,1528.0,2757.0,556.0,284.0
463040,35661.0,36946.0,59274.0,60503.0,34349.0,57976.0,1885.0,3170.0,1580.0,2809.0,573.0,282.0
467351,67891.0,69176.0,52517.0,53731.0,66561.0,51287.0,1953.0,3238.0,1760.0,2974.0,623.0,530.0
525541,57320.0,58592.0,55607.0,56812.0,56020.0,54420.0,1901.0,3173.0,1448.0,2653.0,601.0,261.0
541943,76627.0,77872.0,30862.0,32170.0,75274.0,29594.0,1915.0,3160.0,1552.0,2860.0,562.0,284.0
547046,37209.0,38514.0,43732.0,44947.0,35797.0,42450.0,2042.0,3347.0,1532.0,2747.0,630.0,250.0
550439,67716.0,68983.0,35882.0,37117.0,66181.0,34631.0,2068.0,3335.0,1548.0,2783.0,533.0,297.0
562345,31226.0,32547.0,46764.0,47980.0,29737.0,45404.0,2270.0,3591.0,1617.0,2833.0,781.0,257.0
572045,62504.0,63772.0,48160.0,49404.0,61084.0,46899.0,2079.0,3347.0,1642.0,2886.0,659.0,381.0
573249,52038.0,53284.0,49901.0,51148.0,50751.0,48645.0,2210.0,3456.0,1501.0,2748.0,923.0,245.0
581450,67093.0,68347.0,51224.0,52441.0,65780.0,50005.0,1920.0,3174.0,1482.0,2699.0,607.0,263.0
601127,32151.0,33434.0,44548.0,45796.0,30777.0,43113.0,2029.0,3312.0,1717.0,2965.0,655.0,282.0
617748,52060.0,53298.0,51299.0,52509.0,50729.0,50093.0,1859.0,3097.0,1478.0,2688.0,528.0,272.0
627549,57414.0,58777.0,61383.0,62646.0,55747.0,60034.0,2212.0,3575.0,1586.0,2849.0,545.0,237.0
638049,68548.0,69994.0,37299.0,38511.0,67200.0,36077.0,1899.0,3345.0,1486.0,2698.0,551.0,264.0
644246,74059.0,75331.0,33345.0,34572.0,72757.0,32029.0,1933.0,3205.0,1613.0,2840.0,631.0,297.0
654552,55647.0,56875.0,41035.0,42240.0,54332.0,39798.0,1869.0,3097.0,1489.0,2694.0,554.0,252.0
671855,45919.0,47175.0,40548.0,41819.0,44597.0,39264.0,1890.0,3146.0,1564.0,2835.0,568.0,280.0
680957,73016.0,74273.0,30121.0,31423.0,71636.0,28838.0,2086.0,3343.0,1632.0,2934.0,706.0,349.0
690152,58779.0,60044.0,63434.0,64654.0,57439.0,61886.0,1840.0,3105.0,1798.0,3018.0,500.0,250.0
706040,73619.0,74858.0,66056.0,67333.0,72310.0,64712.0,1922.0,3161.0,1937.0,3214.0,613.0,593.0
724446,35859.0,37100.0,42961.0,44201.0,34521.0,41694.0,1901.0,3142.0,1531.0,2771.0,563.0,264.0
725751,69071.0,70388.0,30304.0,31560.0,67638.0,29019.0,2191.0,3508.0,1712.0,2968.0,758.0,427.0
732243,73805.0,75050.0,31783.0,33004.0,72439.0,30488.0,1837.0,3082.0,1536.0,2757.0,471.0,241.0
745555,68849.0,70201.0,35184.0,36429.0,67353.0,33905.0,2065.0,3417.0,1542.0,2787.0,569.0,263.0
751550,75138.0,76381.0,34804.0,36055.0,73859.0,33585.0,1826.0,3069.0,1496.0,2747.0,547.0,277.0
757764,31599.0,32880.0,39805.0,41017.0,30294.0,38530.0,1887.0,3168.0,1541.0,2753.0,582.0,266.0
765864,61974.0,63283.0,60397.0,61621.0,60441.0,59177.0,2105.0,3414.0,1479.0,2703.0,572.0,259.0
770352,35674.0,36935.0,39906.0,41136.0,34345.0,38655.0,1836.0,3097.0,1463.0,2693.0,507.0,212.0
771354,59352.0,60603.0,42257.0,43522.0,58076.0,41004.0,1897.0,3148.0,1533.0,2798.0,621.0,280.0
782561,30710.0,31957.0,37280.0,38524.0,29402.0,35988.0,1901.0,3148.0,1587.0,2831.0,593.0,295.0
783462,53246.0,54557.0,46331.0,47545.0,51864.0,45057.0,2104.0,3415.0,1547.0,2761.0,722.0,273.0
789373,30067.0,31396.0,41155.0,42406.0,28789.0,39882.0,1938.0,3267.0,1479.0,2730.0,660.0,206.0
814649,74966.0,76243.0,35077.0,37348.0,73561.0,33798.0,1961.0,3238.0,1571.0,3842.0,556.0,292.0
818859,73370.0,74632.0,55811.0,57047.0,72092.0,54585.0,1846.0,3108.0,1499.0,2735.0,568.0,273.0
825048,72486.0,73706.0,52732.0,53959.0,71174.0,51487.0,1802.0,3022.0,1460.0,2687.0,490.0,215.0
826353,38138.0,39401.0,39423.0,40952.0,36865.0,38139.0,1800.0,3063.0,1557.0,3086.0,527.0,273.0
833249,37303.0,38615.0,45682.0,47267.0,35968.0,44380.0,1873.0,3185.0,1601.0,3186.0,538.0,299.0
859671,71819.0,73058.0,51077.0,52370.0,70527.0,49716.0,1806.0,3045.0,1617.0,2910.0,514.0,256.0
861456,68858.0,70145.0,30380.0,31791.0,67508.0,29039.0,2082.0,3369.0,1606.0,3017.0,732.0,265.0
871762,35540.0,36780.0,45610.0,46859.0,34212.0,44386.0,1882.0,3122.0,1559.0,2808.0,554.0,335.0
872764,35859.0,37310.0,44399.0,45643.0,34363.0,43127.0,2262.0,3713.0,1610.0,2854.0,766.0,338.0
878776,67060.0,68298.0,53217.0,54456.0,65760.0,51950.0,1964.0,3202.0,1572.0,2811.0,664.0,305.0
878877,67973.0,69231.0,36171.0,37406.0,66631.0,34870.0,1922.0,3180.0,1610.0,2845.0,580.0,309.0
898176,74023.0,75423.0,35650.0,36867.0,72642.0,33965.0,1878.0,3278.0,1920.0,3137.0,497.0,235.0
899885,68675.0,69942.0,48420.0,49645.0,67248.0,47134.0,2014.0,3281.0,1510.0,2735.0,587.0,224.0
901139,31622.0,32988.0,39270.0,40505.0,30061.0,37988.0,2260.0,3626.0,1572.0,2807.0,699.0,290.0
901442,36964.0,38210.0,44408.0,45616.0,35641.0,42888.0,1860.0,3106.0,1769.0,2977.0,537.0,249.0
905147,36523.0,37787.0,43972.0,45222.0,35243.0,42717.0,1873.0,3137.0,1521.0,2771.0,593.0,266.0
910241,53505.0,54731.0,58846.0,60060.0,52112.0,57468.0,2117.0,3343.0,1620.0,2834.0,724.0,242.0
926862,70575.0,72046.0,48745.0,50013.0,68364.0,47460.0,2869.0,4340.0,1566.0,2834.0,658.0,281.0
927359,72455.0,73724.0,58376.0,59610.0,74914.0,57136.0,1946.0,3215.0,1554.0,2788.0,4405.0,314.0
942658,35319.0,36572.0,50198.0,51452.0,34067.0,48869.0,1810.0,3063.0,1586.0,2840.0,558.0,257.0
943862,69010.0,70286.0,52744.0,53981.0,67487.0,51462.0,2137.0,3413.0,1589.0,2826.0,614.0,307.0
958976,74793.0,76027.0,29830.0,31076.0,73532.0,28566.0,1828.0,3062.0,1554.0,2800.0,567.0,290.0
966975,73171.0,74425.0,30682.0,31946.0,71826.0,29391.0,1894.0,3148.0,1568.0,2832.0,549.0,277.0
971160,73893.0,75173.0,29055.0,30331.0,72598.0,27768.0,1996.0,3276.0,1555.0,2831.0,701.0,268.0
995174,33563.0,34791.0,53068.0,54295.0,32255.0,51848.0,1854.0,3082.0,1494.0,2721.0,546.0,274.0
